""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	100	0.25	1	900	1234.416064	5.981	1	Inf
"2"	2	4	1	50	0.1	0.1	50	5159.506099	0.052	1	Inf
"3"	2	4	1	150	0.1	0.5	600	1245.493921	4.054	1	0.444128718639156
"4"	2	4	1	100	0.1	0.5	700	1273.458692	2.761	1	0.238030928285895
"5"	2	4	1	100	0.1	0.5	600	1287.681011	2.364	1	0.154760913890592
"6"	2	4	1	50	0.1	0.5	900	1297.789626	1.657	1	0.149574987145894
"7"	2	4	1	50	0.1	0.1	50	4811.144739	0.054	1	0.0976606980434492
"8"	2	4	1	50	0.1	0.25	150	2423.827269	0.211	1	0.0914261782470845
"9"	2	4	1	50	0.1	0.1	50	4976.614057	0.053	1	0.0794667843178902
"10"	2	4	1	50	0.1	0.5	150	2214.241117	0.264	1	0.0784117575232621
"11"	2	4	1	50	0.1	0.1	50	4548.817714	0.056	1	0.0752358209095001
"12"	2	4	1	50	0.1	0.25	50	4067.343376	0.068	1	0.0751914593870712
"13"	2	4	1	50	0.1	0.25	100	3215.709415	0.134	1	0.0657766651207666
"14"	2	4	1	50	0.1	0.5	300	1713.436723	0.532	1	0.0648399728994781
"15"	2	3	1	50	0.1	0.5	50	3440.068307	0.092	1	0.0621041601438484
"16"	2	4	1	50	0.1	0.25	50	4326.671107	0.067	1	0.0594440327532992
"17"	2	4	1	50	0.1	0.5	100	2808.467906	0.174	1	0.0580590905589565
"18"	2	4	1	50	0.1	0.25	100	3435.38501	0.133	1	0.0566829408560549
"19"	2	4	1	50	0.1	0.5	50	3682.995638	0.09	1	0.0561485613888036
"20"	2	4	1	50	0.1	0.5	150	2035.929931	0.275	1	0.0550538849655985
"21"	2	4	1	50	0.1	0.5	700	1304.0651	1.285	1	0.0542686927706501
"22"	2	4	1	50	0.1	0.5	600	1342.908881	1.091	1	0.0536092254041858
"23"	2	4	1	50	0.1	0.25	100	3076.93203	0.138	1	0.0523809883301153
"24"	2	4	1	50	0.1	0.5	200	1892.029424	0.355	1	0.0508935372287877
"25"	2	4	1	50	0.1	0.5	200	1799.111251	0.362	1	0.0488377713941939
"26"	2	4	1	50	0.1	0.25	100	2919.807034	0.14	1	0.0471372834509994
"27"	2	4	1	50	0.1	0.5	50	3869.322595	0.087	1	0.0450093620979721
"28"	2	4	1	50	0.1	0.25	50	4486.150753	0.064	1	0.0445361943734971
"29"	2	4	1	50	0.1	0.5	50	3684.670648	0.088	1	0.0427650690412161
"30"	2	4	1	50	0.1	0.5	100	2636.204217	0.175	1	0.0405231525357325
"31"	2	4	1	50	0.1	0.5	400	1414.951095	0.772	1	0.0388904530953619
"32"	2	4	1	50	0.1	0.5	100	2568.236473	0.183	1	0.0372630516040943
"33"	2	4	1	50	0.1	0.25	50	4358.267586	0.065	1	0.0363082862173318
"34"	2	4	1	50	0.1	0.5	300	1508.999265	0.554	1	0.0354729555720228
"35"	2	4	1	50	0.1	0.5	500	1365.226998	0.914	1	0.0325151391939464
"36"	2	4	1	50	0.1	0.25	100	3147.242373	0.135	1	0.0320903251875749
"37"	2	4	1	50	0.1	0.5	500	1376.530572	0.907	1	0.0304986487027565
"38"	2	4	1	50	0.1	0.25	100	2872.562174	0.143	1	0.0299076642919611
"39"	2	4	1	50	0.1	0.5	400	1484.690354	0.722	1	0.0294149477723837
"40"	2	3	1	50	0.1	0.25	50	3958.010144	0.075	1	0.0285901114981893
"41"	2	4	1	50	0.1	0.5	700	1342.870182	1.273	1	0.0274665719831117
"42"	2	4	1	50	0.1	0.25	50	3997.710197	0.07	1	0.0258020090350255
"43"	2	4	1	50	0.1	0.5	150	2112.213952	0.267	1	0.0255005816097522
"44"	2	4	1	50	0.1	0.5	300	1617.951108	0.537	1	0.0233994675272314
"45"	2	3	1	50	0.1	0.25	50	3875.51836	0.076	1	0.0217842796154429
"46"	2	4	1	50	0.1	0.5	150	2086.033985	0.274	1	0.0165235561005874
"47"	2	4	1	50	0.1	0.5	100	2632.597046	0.178	1	0.0158848851474009
"48"	2	4	1	50	0.1	0.5	200	1862.009229	0.359	1	0.0156888628025687
